serial,participant,trial,angle,is.correct,rt
246,2,433,40,1,0.610302288
247,2,439,40,1,0.623253994
248,2,442,160,1,1.622608888
249,2,447,160,1,1.144616323
250,2,450,80,1,0.919120395
251,2,459,80,1,0.914909158
252,2,461,80,1,1.154361829
253,2,465,80,1,1.15402633
254,2,474,40,1,1.275865577
255,2,475,160,1,2.277489828
256,2,476,80,1,1.095443163
257,2,482,160,1,1.752377573
258,2,486,40,1,0.689884753
259,2,487,0,1,0.572545563
260,2,489,160,1,1.02936853
261,2,500,80,1,0.7496418
262,2,507,40,1,1.254792981
263,2,510,120,1,1.253331738
264,2,514,160,1,1.207007764
265,2,515,120,1,1.329999376
266,2,521,160,1,3.699744401
267,2,525,40,1,0.657428542
268,2,528,120,1,3.274364586
269,2,529,160,1,0.909845682
270,2,530,40,1,0.757982224
271,2,534,160,1,0.942196502
272,2,538,120,1,0.926816443
273,2,552,0,1,0.652577304
274,2,554,40,1,0.745444056
275,2,571,120,1,0.944756138
276,2,574,120,1,1.058349777
277,3,9,120,1,3.27517197
278,3,10,80,1,2.118512341
279,3,19,120,1,1.503184502
280,3,23,120,1,2.349404326
281,3,37,80,1,1.090115663
282,3,40,80,1,2.0072475
283,3,42,160,1,1.63417958
284,3,46,160,1,2.326451843
285,3,52,120,1,1.403341931
286,3,56,80,1,1.243499805
287,3,57,80,1,1.156518137
288,3,64,160,1,3.488808021
289,3,68,80,1,0.876543066
290,3,80,160,1,1.516096459
291,3,81,0,1,0.638975752
292,3,90,160,1,2.473503813
293,3,92,80,1,1.089928586
294,3,98,40,1,0.692895853
295,3,99,160,1,1.975750742
296,3,102,120,1,0.929974506
297,3,103,120,1,2.108251188
298,3,107,160,1,1.370613674
299,3,109,80,1,1.575301393
300,3,111,120,1,1.351616064
301,3,118,40,1,1.179708386
302,3,122,40,1,1.077960766
303,3,123,120,1,1.375875168
304,3,124,80,1,1.208011343
305,3,126,120,1,1.408369305
306,3,133,120,1,1.291870686
307,3,134,80,1,1.059731886
308,3,144,40,1,0.929024899
309,3,147,80,1,1.026831868
310,3,151,40,1,0.960303582
311,3,152,40,1,0.865158357
312,3,153,120,1,1.078711627
313,3,163,160,1,1.588212985
314,3,166,120,1,1.186823874
315,3,167,40,1,0.90908461
316,3,170,40,1,0.917972042
317,3,172,0,1,0.616434255
318,3,173,40,1,0.75559289
319,3,174,160,1,1.814107863
320,3,175,120,1,0.864536591
321,3,178,120,1,1.098392269
322,3,182,40,1,0.586233543
323,3,187,40,1,1.288509865
324,3,189,0,1,0.638200458
325,3,204,0,1,0.6508958
326,3,206,80,1,0.856379233
327,3,207,80,1,1.088557418
328,3,208,160,1,0.990457617
329,3,211,0,1,0.706839833
330,3,216,40,1,0.710660506
331,3,219,80,1,0.989959109
332,3,220,0,1,0.557365344
333,3,221,40,1,0.586847651
334,3,222,120,1,0.719082251
335,3,224,160,1,1.085867229
336,3,228,120,1,0.853104839
337,3,232,40,1,1.217937362
338,3,238,160,1,1.442716343
339,3,256,40,1,0.988241867
340,3,263,80,1,1.440657767
341,3,264,40,1,1.341833726
342,3,271,160,1,1.027527663
343,3,272,80,1,1.038630115
344,3,275,0,1,0.697338657
345,3,279,160,1,1.260070885
346,3,280,160,1,1.263276356
347,3,284,160,1,1.660771494
348,3,285,0,1,0.687236501
349,3,294,120,1,1.027206022
350,3,295,160,1,1.035869545
351,3,297,40,1,0.820320058
352,3,302,80,1,1.322376993
353,3,318,120,1,1.375939351
354,3,320,80,1,0.939469846
355,3,321,120,1,0.896651468
356,3,323,40,1,0.904419356
357,3,330,160,1,1.489142061
358,3,334,120,1,0.994117834
359,3,344,80,1,1.67692393
360,3,347,160,1,1.556592603
361,3,350,0,1,0.615111223
362,3,351,80,1,0.833381166
363,3,354,40,1,0.829672448
364,3,355,80,1,0.977369523
365,3,359,160,1,1.387452424
366,3,363,40,1,0.741034437
367,3,365,120,1,1.394483673
368,3,370,120,1,0.849011027
369,3,372,120,1,1.06348947
370,3,390,160,1,1.953901393
371,3,393,120,1,1.139630521
372,3,397,40,1,0.986392613
373,3,399,40,1,0.985631177
374,3,411,120,1,1.796424897
375,3,413,80,1,1.131257642
376,3,427,0,1,0.744073982
377,3,430,40,1,0.852787574
378,3,435,80,1,1.026451879
379,3,438,120,1,1.031180952
380,3,440,40,1,0.706925166
381,3,450,80,1,0.849126992
382,3,451,40,1,0.6993728
383,3,455,80,1,0.755959021
384,3,456,80,1,1.158181772
385,3,459,40,1,1.170821683
386,3,462,120,1,0.975801067
387,3,463,40,1,0.850088269
388,3,466,0,1,0.690590029
389,3,468,160,1,0.850472269
390,3,469,80,1,0.75044955
391,3,473,0,1,0.566064969
392,3,474,40,1,0.823194042
393,3,479,120,1,0.958727104
394,3,484,160,1,1.123861356
395,3,486,80,1,0.852063335
396,3,488,160,1,1.027785122
397,3,493,0,1,0.736056658
398,3,494,0,1,0.538222959
399,3,502,40,1,0.839164142
400,3,506,160,1,1.181378586
401,3,512,160,1,1.88022881
402,3,513,40,1,0.637921119
403,3,515,120,1,0.79967814
404,3,518,80,1,0.959083753
405,3,519,160,1,1.107676829
406,3,522,120,1,1.074357803
407,3,523,160,1,1.704420231
408,3,524,80,1,0.879138075
409,3,526,0,1,0.795515404
410,3,537,40,1,0.876473778
411,3,539,0,1,0.759005859
412,3,540,80,1,0.742140489
413,3,545,120,1,1.023861976
414,3,549,80,1,0.770850055
415,3,551,120,1,0.810813777
416,3,552,40,1,0.585292323
417,3,562,160,1,1.337654215
418,3,569,160,1,0.972351995
419,4,5,160,1,1.824800424
420,4,9,40,1,3.879547967
421,4,10,120,1,2.835849999
422,4,12,120,1,2.144117086
423,4,18,80,1,1.610393091
424,4,23,40,1,1.243673024
425,4,24,40,1,1.249376137
426,4,27,120,1,1.566912103
427,4,28,40,1,1.581243365
428,4,34,80,1,1.523933634
429,4,38,120,1,3.064938314
430,4,39,40,1,1.411192599
431,4,40,120,1,2.043894527
432,4,44,160,1,1.962721725
433,4,50,0,1,1.086589645
434,4,61,160,1,3.511273666
435,4,63,160,1,3.522175184
436,4,65,160,1,3.056528603
437,4,69,80,1,1.310283726
438,4,75,160,1,2.016630886
439,4,79,40,1,1.0754799
440,4,80,0,1,0.905304051
441,4,81,80,1,1.205049109
442,4,82,0,1,1.22508093
443,4,85,80,1,1.814670188
444,4,91,120,1,2.955339297
445,4,96,80,1,1.096319835
446,4,101,80,1,1.436865174
447,4,118,80,1,1.485928567
448,4,119,40,1,1.495344045
449,4,125,120,1,1.765839091
450,4,133,160,1,2.908687117
451,4,141,160,1,1.725466936
452,4,153,120,1,2.079825336
453,4,155,160,1,3.020775024
454,4,157,40,1,1.326645484
455,4,159,120,1,2.075459843
456,4,173,120,1,2.417486116
457,4,174,120,1,1.867377754
458,4,177,40,1,1.108676031
459,4,187,40,1,1.221402844
460,4,193,120,1,1.58852478
461,4,194,0,1,1.122783384
462,4,196,0,1,1.034845909
463,4,197,160,1,1.536628975
464,4,198,80,1,1.020064642
465,4,201,40,1,1.011424823
466,4,202,160,1,2.389230931
467,4,207,80,1,1.282556223
468,4,212,120,1,1.290722332
469,4,219,40,1,2.162216508
470,4,222,80,1,1.072876503
471,4,230,80,1,1.277913942
472,4,237,40,1,1.044619495
473,4,238,0,1,0.730002731
474,4,242,160,1,2.183471076
475,4,243,80,1,1.544577376
476,4,248,80,1,1.339448769
477,4,252,40,1,1.09403188
478,4,253,120,1,1.306879874
479,4,256,160,1,2.286528599
480,4,264,40,1,1.153222592
481,4,265,120,1,1.606107461
482,4,267,0,1,1.26902104
483,4,269,80,1,1.286080417
484,4,272,40,1,1.081570659
485,4,278,120,1,1.341329749
486,4,279,0,1,0.693434474
487,4,282,80,1,1.144089736
488,4,299,160,1,1.822141962
489,4,301,160,1,1.507548172
490,4,305,120,1,1.485406721
491,4,307,160,1,2.168801034
492,4,310,80,1,1.137343296
493,4,314,40,1,0.887018281
494,4,316,160,1,1.538336736
495,4,321,0,1,0.745646449
496,4,324,120,1,1.228491346
497,4,326,120,1,1.594833613
498,4,331,120,1,1.240535383
499,4,335,40,1,0.834906226
500,4,337,80,1,1.001312821
